Date,Open,High,Low,Close,Adj Close,Volume
2015-04-08,25500.0,25990.05078125,25284.900390625,25823.599609375,23320.783203125,26541
2015-04-09,26000.0,26098.94921875,25565.0,25692.5,23202.392578125,19940
2015-04-10,25695.0,26159.94921875,25585.150390625,26069.099609375,23542.486328125,19246
2015-04-13,26100.0,26580.0,25950.150390625,26440.599609375,23877.982421875,22720
2015-04-15,26796.94921875,26796.94921875,26150.0,26340.25,23787.359375,16172
2015-04-16,26400.0,26489.75,25745.099609375,26239.55078125,23696.419921875,16311
2015-04-17,26050.0,26295.94921875,25457.19921875,25574.55078125,23095.8671875,13387
2015-04-20,25784.900390625,25784.900390625,24360.0,24676.19921875,22284.5859375,23979
2015-04-21,24939.0,24939.0,24199.900390625,24284.05078125,21930.443359375,25005
2015-04-22,24290.0,24494.75,23160.05078125,23622.19921875,21332.740234375,36581
2015-04-23,23815.0,24050.0,23467.94921875,23720.5,21421.513671875,16777
2015-04-24,23800.0,23820.0,21460.05078125,21958.400390625,19830.201171875,48109
2015-04-27,22025.0,22100.0,20433.900390625,20930.400390625,18901.830078125,68844
2015-04-28,21100.0,21900.0,20626.69921875,21722.5,19617.162109375,35316
2015-04-29,21700.0,21975.0,21350.0,21621.25,19525.7265625,26659
2015-04-30,22000.0,22850.0,21775.0,22503.80078125,20322.73828125,51345
2015-05-04,22780.0,23070.0,22325.0,22713.05078125,20511.70703125,26605
2015-05-05,22950.0,22950.0,22411.0,22522.0,20339.169921875,32148
2015-05-06,22400.0,22594.0,21600.0,21732.400390625,19626.103515625,21560
2015-05-07,21900.0,21950.0,19798.19921875,20936.150390625,18907.0234375,25196
2015-05-08,21000.0,21900.0,21000.0,21608.75,19514.435546875,28261
2015-05-11,21950.0,22250.0,21740.05078125,22114.05078125,19970.76171875,29896
2015-05-12,22155.0,22155.0,21335.44921875,21487.55078125,19404.978515625,12424
2015-05-13,21470.150390625,22691.30078125,21470.150390625,22580.349609375,20391.87109375,35527
2015-05-14,22699.0,22940.0,22250.0,22794.150390625,20584.947265625,27743
2015-05-15,22880.0,23144.0,22767.0,22868.650390625,20652.2265625,24846
2015-05-18,23000.0,23149.0,22661.599609375,22983.80078125,20756.216796875,16022
2015-05-19,22990.0,23459.0,22810.0,23184.849609375,20937.779296875,21741
2015-05-20,23398.0,23425.849609375,23150.0,23256.19921875,21002.212890625,13008
2015-05-21,23340.0,23550.0,23200.400390625,23376.5,21110.853515625,20691
2015-05-22,23298.19921875,23400.0,22989.94921875,23146.05078125,20902.73828125,10461
2015-05-25,22605.19921875,23777.400390625,22605.19921875,23462.599609375,21188.611328125,16485
2015-05-26,23594.80078125,23594.80078125,23050.05078125,23135.75,20893.4375,13637
2015-05-27,23075.849609375,23250.5,22850.0,23033.94921875,20801.505859375,25168
2015-05-28,23289.0,23404.05078125,22860.099609375,23094.55078125,20856.23046875,93071
